BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,life-me,2,myself,0,0
-1,life-me,3,other,0,0
-1,life-me,4,lifeless,1,1673
-1,life-me,5,survive,1,1556
-1,life-me,6,funeral,1,1923
-1,life-me,7,deceased,0,0
-1,life-me,8,mine,1,982
-1,life-me,9,theirs,0,0
-1,life-me,10,my,1,1162
-1,life-me,11,breathing,0,0
0,death-me,12,die,1,1390
0,death-me,13,suicide,1,1523
0,death-me,14,survive,0,0
0,death-me,15,other,0,0
0,death-me,16,my,1,824
0,death-me,17,theirs,0,0
0,death-me,18,deceased,1,970
0,death-me,19,alive,1,1849
0,death-me,20,I,1,1483
0,death-me,21,their,0,0
0,death-me,22,self,1,1190
0,death-me,23,mine,1,923
0,death-me,24,breathing,1,1456
0,death-me,25,them,1,1256
0,death-me,26,they,1,1566
0,death-me,27,live,1,1465
0,death-me,28,funeral,1,1006
0,death-me,29,lifeless,1,885
0,death-me,30,thrive,1,884
0,death-me,31,myself,1,887
1,life-me,32,their,1,1989
1,life-me,33,funeral,1,1710
1,life-me,34,them,1,1096
1,life-me,35,lifeless,1,1934
1,life-me,36,theirs,1,899
1,life-me,37,other,1,1188
1,life-me,38,deceased,1,1131
1,life-me,39,myself,1,791
1,life-me,40,live,1,1541
1,life-me,41,breathing,1,1032
1,life-me,42,self,1,1381
1,life-me,43,die,1,1523
1,life-me,44,thrive,1,1025
1,life-me,45,mine,1,1023
1,life-me,46,they,1,856
1,life-me,47,alive,1,1380
1,life-me,48,suicide,1,856
1,life-me,49,my,1,1191
1,life-me,50,survive,1,1873
1,life-me,51,I,1,1006
2,death-me,52,them,1,1358
2,death-me,53,live,1,1193
2,death-me,54,deceased,1,1013
2,death-me,55,self,1,697
2,death-me,56,my,1,681
2,death-me,57,breathing,1,1147
2,death-me,58,thrive,1,953
2,death-me,59,die,1,873
2,death-me,60,myself,1,1032
2,death-me,61,I,1,616
2,death-me,62,alive,1,1316
2,death-me,63,other,1,865
2,death-me,64,survive,1,982
2,death-me,65,funeral,1,732
2,death-me,66,their,1,771
2,death-me,67,they,1,622
2,death-me,68,theirs,1,590
2,death-me,69,lifeless,1,1136
2,death-me,70,suicide,1,665
2,death-me,71,mine,1,990
3,life-me,72,thrive,1,1299
3,life-me,73,myself,1,707
3,life-me,74,my,1,789
3,life-me,75,deceased,1,889
3,life-me,76,breathing,1,1441
3,life-me,77,I,1,657
3,life-me,78,die,1,781
3,life-me,79,them,1,806
3,life-me,80,alive,1,1032
3,life-me,81,theirs,1,639
3,life-me,82,suicide,1,906
3,life-me,83,other,1,923
3,life-me,84,survive,1,948
3,life-me,85,lifeless,1,931
3,life-me,86,live,1,788
3,life-me,87,self,1,665
3,life-me,88,they,1,673
3,life-me,89,mine,1,838
3,life-me,90,their,1,698
3,life-me,91,funeral,1,902
4,death-me,92,their,1,740
4,death-me,93,suicide,1,1006
4,death-me,94,self,1,682
4,death-me,95,live,1,732
4,death-me,96,my,1,858
4,death-me,97,I,1,648
4,death-me,98,theirs,1,590
4,death-me,99,deceased,1,724
4,death-me,100,survive,1,956
4,death-me,101,other,1,698
4,death-me,102,funeral,1,799
4,death-me,103,myself,1,840
4,death-me,104,breathing,1,856
4,death-me,105,die,1,887
4,death-me,106,them,1,674
4,death-me,107,mine,1,757
4,death-me,108,lifeless,1,838
4,death-me,109,they,1,674
4,death-me,110,thrive,1,982
4,death-me,111,alive,1,1028
5,life-me,112,I,1,1149
5,life-me,113,they,1,898
5,life-me,114,myself,1,790
5,life-me,115,die,1,772
5,life-me,116,their,1,707
5,life-me,117,other,1,691
5,life-me,118,mine,1,725
5,life-me,119,them,1,798
5,life-me,120,breathing,1,965
5,life-me,121,lifeless,1,765
5,life-me,122,funeral,1,898
5,life-me,123,deceased,1,540
5,life-me,124,my,1,715
5,life-me,125,thrive,1,782
5,life-me,126,theirs,1,922
5,life-me,127,survive,1,699
5,life-me,128,live,1,808
5,life-me,129,alive,1,1024
5,life-me,130,suicide,1,749
5,life-me,131,self,1,1057
6,death-me,132,theirs,1,1424
6,death-me,133,thrive,1,823
6,death-me,134,self,1,674
6,death-me,135,survive,1,765
6,death-me,136,my,1,799
6,death-me,137,alive,1,831
6,death-me,138,funeral,1,833
6,death-me,139,other,1,590
6,death-me,140,breathing,1,1358
6,death-me,141,live,1,981
6,death-me,142,mine,1,798
6,death-me,143,lifeless,1,676
6,death-me,144,suicide,1,682
6,death-me,145,their,1,532
6,death-me,146,die,1,664
6,death-me,147,myself,1,790
6,death-me,148,they,1,741
6,death-me,149,I,1,698
6,death-me,150,deceased,1,758
6,death-me,151,them,1,757
7,life-me,152,myself,1,1013
7,life-me,153,self,1,740
7,life-me,154,suicide,1,673
7,life-me,155,deceased,1,1115
7,life-me,156,thrive,1,897
7,life-me,157,I,1,798
7,life-me,158,theirs,1,601
7,life-me,159,funeral,1,872
7,life-me,160,alive,1,928
7,life-me,161,lifeless,1,1016
7,life-me,162,their,1,1116
7,life-me,163,mine,1,815
7,life-me,164,other,1,991
7,life-me,165,them,1,699
7,life-me,166,they,1,664
7,life-me,167,breathing,1,1149
7,life-me,168,live,1,632
7,life-me,169,my,1,749
7,life-me,170,survive,1,832
7,life-me,171,die,1,707
8,death-me,172,self,1,1132
8,death-me,173,breathing,1,823
8,death-me,174,suicide,1,840
8,death-me,175,I,1,791
8,death-me,176,thrive,1,889
8,death-me,177,they,1,692
8,death-me,178,lifeless,1,981
8,death-me,179,survive,1,966
8,death-me,180,my,1,607
8,death-me,181,die,1,699
8,death-me,182,funeral,1,605
8,death-me,183,live,1,852
8,death-me,184,their,1,847
8,death-me,185,myself,1,715
8,death-me,186,theirs,1,841
8,death-me,187,them,1,573
8,death-me,188,deceased,1,740
8,death-me,189,other,1,715
8,death-me,190,mine,1,847
8,death-me,191,alive,1,789
9,life-me,192,survive,1,1039
9,life-me,193,their,1,648
9,life-me,194,myself,1,813
