BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,life-me,2,self,1,1388
-1,life-me,3,them,1,732
-1,life-me,4,suicide,1,884
-1,life-me,5,breathing,1,816
-1,life-me,6,myself,1,681
-1,life-me,7,theirs,1,732
-1,life-me,8,live,1,699
-1,life-me,9,I,1,648
-1,life-me,10,funeral,1,798
-1,life-me,11,thrive,1,607
0,death-me,12,they,1,882
0,death-me,13,suicide,1,726
0,death-me,14,alive,1,1267
0,death-me,15,funeral,1,541
0,death-me,16,thrive,1,682
0,death-me,17,them,1,732
0,death-me,18,I,1,590
0,death-me,19,breathing,1,598
0,death-me,20,my,1,697
0,death-me,21,live,1,715
0,death-me,22,survive,1,1740
0,death-me,23,myself,1,623
0,death-me,24,mine,1,741
0,death-me,25,die,1,714
0,death-me,26,other,1,623
0,death-me,27,lifeless,1,991
0,death-me,28,theirs,1,690
0,death-me,29,deceased,1,508
0,death-me,30,self,1,991
0,death-me,31,their,1,710
1,life-me,32,myself,1,1132
1,life-me,33,deceased,1,598
1,life-me,34,theirs,1,673
1,life-me,35,my,1,591
1,life-me,36,other,1,631
1,life-me,37,survive,1,782
1,life-me,38,I,1,470
1,life-me,39,self,1,516
1,life-me,40,live,1,898
1,life-me,41,they,1,698
1,life-me,42,them,1,607
1,life-me,43,funeral,1,580
1,life-me,44,thrive,1,1617
1,life-me,45,breathing,1,735
1,life-me,46,lifeless,1,1748
1,life-me,47,their,1,898
1,life-me,48,mine,1,844
1,life-me,49,die,1,914
1,life-me,50,alive,1,675
1,life-me,51,suicide,1,648
2,death-me,52,suicide,1,1023
2,death-me,53,they,1,572
2,death-me,54,self,1,532
2,death-me,55,myself,1,507
2,death-me,56,thrive,1,817
2,death-me,57,I,1,590
2,death-me,58,deceased,1,440
2,death-me,59,my,1,591
2,death-me,60,theirs,1,515
2,death-me,61,mine,1,764
2,death-me,62,them,1,715
2,death-me,63,die,1,557
2,death-me,64,breathing,1,632
2,death-me,65,their,1,712
2,death-me,66,lifeless,1,583
2,death-me,67,live,1,1646
2,death-me,68,survive,1,590
2,death-me,69,alive,1,1090
2,death-me,70,funeral,1,597
2,death-me,71,other,1,674
3,life-me,72,deceased,1,902
3,life-me,73,I,1,673
3,life-me,74,their,1,590
3,life-me,75,die,1,1381
3,life-me,76,mine,1,707
3,life-me,77,self,1,1117
3,life-me,78,thrive,1,774
3,life-me,79,breathing,1,531
3,life-me,80,live,1,573
3,life-me,81,other,1,556
3,life-me,82,them,1,591
3,life-me,83,suicide,1,532
3,life-me,84,funeral,1,1090
3,life-me,85,myself,1,856
3,life-me,86,alive,1,1239
3,life-me,87,theirs,1,574
3,life-me,88,lifeless,1,756
3,life-me,89,my,1,707
3,life-me,90,they,1,831
3,life-me,91,survive,1,980
4,death-me,92,suicide,1,1122
4,death-me,93,lifeless,1,639
4,death-me,94,mine,1,482
4,death-me,95,deceased,1,499
4,death-me,96,they,1,557
4,death-me,97,breathing,1,682
4,death-me,98,myself,1,540
4,death-me,99,survive,1,1007
4,death-me,100,funeral,1,940
4,death-me,101,live,1,673
4,death-me,102,my,1,591
