BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,mine,1,1156
-1,death-me,3,them,0,0
-1,death-me,4,die,1,1915
-1,death-me,5,survive,1,1757
-1,death-me,6,my,1,982
-1,death-me,7,other,0,0
-1,death-me,8,they,1,1641
-1,death-me,9,lifeless,1,1157
-1,death-me,10,breathing,1,1365
-1,death-me,11,funeral,1,1107
0,life-me,12,their,1,957
0,life-me,13,lifeless,1,1181
0,life-me,14,they,1,1690
0,life-me,15,breathing,1,1040
0,life-me,16,suicide,1,908
0,life-me,17,theirs,1,1615
0,life-me,18,deceased,1,1014
0,life-me,19,thrive,1,1132
0,life-me,20,alive,1,931
0,life-me,21,my,1,1081
0,life-me,22,I,1,957
0,life-me,23,mine,1,898
0,life-me,24,survive,1,1107
0,life-me,25,funeral,1,1023
0,life-me,26,self,1,957
0,life-me,27,die,1,992
0,life-me,28,other,1,949
0,life-me,29,them,1,947
0,life-me,30,live,1,856
0,life-me,31,myself,1,941
1,death-me,32,funeral,1,1766
1,death-me,33,my,1,932
1,death-me,34,suicide,1,966
1,death-me,35,I,1,922
1,death-me,36,other,1,690
1,death-me,37,alive,1,799
1,death-me,38,live,1,781
1,death-me,39,self,1,765
1,death-me,40,their,1,787
1,death-me,41,they,1,765
1,death-me,42,theirs,1,665
1,death-me,43,mine,1,714
1,death-me,44,thrive,1,724
1,death-me,45,survive,1,1131
1,death-me,46,myself,1,607
1,death-me,47,them,1,640
1,death-me,48,deceased,1,756
1,death-me,49,die,1,615
1,death-me,50,lifeless,1,714
1,death-me,51,breathing,1,732
2,life-me,52,live,1,1664
2,life-me,53,I,1,948
2,life-me,54,lifeless,1,749
2,life-me,55,suicide,1,780
2,life-me,56,thrive,1,1115
2,life-me,57,self,1,948
2,life-me,58,survive,1,858
2,life-me,59,breathing,1,723
2,life-me,60,their,1,790
2,life-me,61,they,1,656
2,life-me,62,deceased,1,968
2,life-me,63,die,1,732
2,life-me,64,funeral,1,848
2,life-me,65,other,1,890
2,life-me,66,mine,1,793
2,life-me,67,alive,1,675
2,life-me,68,my,1,572
2,life-me,69,them,1,641
2,life-me,70,myself,1,742
2,life-me,71,theirs,1,707
3,death-me,72,lifeless,1,1541
3,death-me,73,deceased,1,598
3,death-me,74,alive,1,782
3,death-me,75,my,1,817
3,death-me,76,I,1,766
3,death-me,77,die,1,540
3,death-me,78,self,1,756
3,death-me,79,live,1,790
3,death-me,80,mine,1,581
3,death-me,81,breathing,1,607
3,death-me,82,survive,1,1042
3,death-me,83,suicide,1,849
3,death-me,84,theirs,1,665
3,death-me,85,funeral,1,815
3,death-me,86,they,1,882
3,death-me,87,their,1,574
3,death-me,88,them,1,471
3,death-me,89,thrive,1,974
3,death-me,90,other,1,713
3,death-me,91,myself,1,582
4,life-me,92,deceased,1,1373
4,life-me,93,I,1,1022
4,life-me,94,thrive,1,1013
4,life-me,95,myself,1,554
4,life-me,96,other,1,771
4,life-me,97,self,1,683
4,life-me,98,their,1,624
4,life-me,99,breathing,1,690
4,life-me,100,theirs,1,814
4,life-me,101,survive,1,1423
4,life-me,102,live,1,989
4,life-me,103,my,1,557
4,life-me,104,mine,1,707
4,life-me,105,die,1,573
4,life-me,106,suicide,1,1040
4,life-me,107,alive,1,776
4,life-me,108,them,1,598
4,life-me,109,funeral,1,807
4,life-me,110,lifeless,1,731
4,life-me,111,they,1,857
5,death-me,112,die,1,1207
5,death-me,113,I,1,740
5,death-me,114,other,1,648
5,death-me,115,their,1,615
5,death-me,116,deceased,1,773
5,death-me,117,mine,1,580
5,death-me,118,my,1,492
5,death-me,119,funeral,1,606
5,death-me,120,them,1,899
5,death-me,121,thrive,0,0
5,death-me,122,self,1,856
5,death-me,123,myself,1,681
5,death-me,124,they,1,583
5,death-me,125,live,1,814
5,death-me,126,suicide,1,615
5,death-me,127,theirs,1,530
5,death-me,128,alive,1,749
5,death-me,129,survive,1,640
5,death-me,130,lifeless,1,697
5,death-me,131,breathing,1,1416
6,life-me,132,die,1,1124
6,life-me,133,mine,1,715
6,life-me,134,self,1,617
6,life-me,135,deceased,1,556
6,life-me,136,thrive,1,617
6,life-me,137,they,1,545
6,life-me,138,I,1,699
6,life-me,139,theirs,1,516
6,life-me,140,live,1,507
6,life-me,141,their,1,574
6,life-me,142,breathing,1,627
6,life-me,143,them,1,587
6,life-me,144,lifeless,1,1756
6,life-me,145,other,1,584
6,life-me,146,funeral,1,565
6,life-me,147,alive,1,606
6,life-me,148,my,1,674
6,life-me,149,survive,1,698
6,life-me,150,myself,1,531
6,life-me,151,suicide,1,658
7,death-me,152,breathing,1,981
7,death-me,153,they,1,774
7,death-me,154,lifeless,1,630
7,death-me,155,mine,1,656
7,death-me,156,funeral,1,609
7,death-me,157,theirs,1,599
7,death-me,158,my,1,632
7,death-me,159,deceased,1,631
7,death-me,160,die,1,497
7,death-me,161,suicide,1,406
7,death-me,162,alive,1,731
7,death-me,163,live,1,680
7,death-me,164,their,1,414
7,death-me,165,other,1,532
7,death-me,166,myself,1,564
7,death-me,167,I,1,615
7,death-me,168,self,1,733
7,death-me,169,survive,1,765
7,death-me,170,thrive,1,539
7,death-me,171,them,1,657
8,life-me,172,mine,1,915
8,life-me,173,I,1,629
8,life-me,174,survive,1,590
8,life-me,175,suicide,1,623
8,life-me,176,breathing,1,664
8,life-me,177,myself,1,507
8,life-me,178,their,1,588
8,life-me,179,alive,1,582
8,life-me,180,deceased,1,512
8,life-me,181,thrive,1,590
8,life-me,182,live,1,574
8,life-me,183,funeral,1,541
8,life-me,184,lifeless,1,769
8,life-me,185,they,1,682
8,life-me,186,other,1,656
8,life-me,187,my,1,468
8,life-me,188,them,1,974
8,life-me,189,die,1,883
8,life-me,190,theirs,1,557
8,life-me,191,self,1,671
9,death-me,192,them,1,854
9,death-me,193,theirs,1,495
9,death-me,194,my,1,632
9,death-me,195,self,1,681
9,death-me,196,other,1,558
9,death-me,197,I,1,531
9,death-me,198,mine,1,857
9,death-me,199,suicide,1,1423
9,death-me,200,thrive,1,674
9,death-me,201,breathing,1,640
9,death-me,202,they,1,649
9,death-me,203,alive,1,681
9,death-me,204,myself,1,1574
9,death-me,205,their,1,848
9,death-me,206,funeral,1,922
9,death-me,207,survive,1,698
9,death-me,208,lifeless,1,723
9,death-me,209,deceased,1,539
9,death-me,210,die,1,557
9,death-me,211,live,1,772
10,life-me,212,they,1,874
10,life-me,213,breathing,1,523
10,life-me,214,survive,1,523
10,life-me,215,deceased,1,690
10,life-me,216,their,1,671
10,life-me,217,lifeless,1,607
10,life-me,218,thrive,1,1110
10,life-me,219,self,1,548
10,life-me,220,my,1,456
10,life-me,221,alive,1,498
10,life-me,222,other,1,632
10,life-me,223,them,1,556
10,life-me,224,mine,1,740
10,life-me,225,suicide,1,865
10,life-me,226,theirs,1,815
10,life-me,227,myself,1,773
10,life-me,228,die,1,782
10,life-me,229,funeral,1,668
10,life-me,230,live,1,755
10,life-me,231,I,1,690
11,death-me,232,breathing,1,1045
11,death-me,233,their,1,526
11,death-me,234,they,1,491
11,death-me,235,lifeless,1,507
11,death-me,236,survive,1,689
11,death-me,237,myself,1,598
11,death-me,238,live,1,564
11,death-me,239,them,1,624
11,death-me,240,deceased,1,530
11,death-me,241,thrive,1,538
11,death-me,242,mine,1,598
11,death-me,243,other,1,588
11,death-me,244,my,1,549
11,death-me,245,theirs,1,625
11,death-me,246,suicide,1,665
11,death-me,247,funeral,1,723
11,death-me,248,alive,1,623
11,death-me,249,die,1,723
11,death-me,250,self,1,757
11,death-me,251,I,1,682
12,life-me,252,live,1,1207
12,life-me,253,lifeless,1,592
12,life-me,254,self,1,632
12,life-me,255,myself,1,540
12,life-me,256,they,1,622
12,life-me,257,deceased,1,563
12,life-me,258,other,1,519
12,life-me,259,them,1,605
12,life-me,260,alive,1,624
12,life-me,261,thrive,1,681
12,life-me,262,survive,1,582
12,life-me,263,funeral,1,782
12,life-me,264,their,1,981
12,life-me,265,I,1,656
12,life-me,266,breathing,1,665
12,life-me,267,suicide,1,597
12,life-me,268,die,1,989
12,life-me,269,my,1,690
12,life-me,270,theirs,1,598
12,life-me,271,mine,1,673
13,death-me,272,mine,1,990
13,death-me,273,alive,1,583
13,death-me,274,theirs,1,657
13,death-me,275,funeral,1,573
13,death-me,276,them,1,715
13,death-me,277,thrive,1,756
13,death-me,278,deceased,1,616
13,death-me,279,suicide,1,641
13,death-me,280,survive,1,682
13,death-me,281,I,1,641
13,death-me,282,self,1,673
13,death-me,283,live,1,673
13,death-me,284,breathing,1,720
13,death-me,285,they,1,591
13,death-me,286,die,1,782
13,death-me,287,myself,1,799
13,death-me,288,my,1,555
13,death-me,289,their,1,587
13,death-me,290,other,1,606
13,death-me,291,lifeless,1,1265
14,life-me,292,self,1,972
14,life-me,293,mine,1,657
14,life-me,294,funeral,1,615
14,life-me,295,breathing,1,632
14,life-me,296,alive,1,557
14,life-me,297,their,1,632
14,life-me,298,lifeless,1,1823
14,life-me,299,myself,1,573
14,life-me,300,they,1,742
14,life-me,301,deceased,1,556
14,life-me,302,die,1,640
14,life-me,303,I,1,531
14,life-me,304,them,1,481
14,life-me,305,survive,1,631
14,life-me,306,other,1,750
14,life-me,307,my,1,581
14,life-me,308,suicide,1,1307
14,life-me,309,theirs,1,606
14,life-me,310,live,1,991
14,life-me,311,thrive,1,970
15,death-me,312,myself,1,1157
15,death-me,313,other,1,614
15,death-me,314,breathing,1,823
15,death-me,315,funeral,1,598
15,death-me,316,alive,1,648
15,death-me,317,survive,1,641
15,death-me,318,thrive,1,673
15,death-me,319,die,1,583
15,death-me,320,suicide,1,632
15,death-me,321,self,1,608
15,death-me,322,their,1,584
15,death-me,323,theirs,1,482
15,death-me,324,them,1,437
15,death-me,325,I,1,674
15,death-me,326,mine,1,632
15,death-me,327,lifeless,1,523
15,death-me,328,my,1,590
15,death-me,329,deceased,1,540
15,death-me,330,live,1,679
15,death-me,331,they,1,623
16,life-me,332,breathing,1,917
16,life-me,333,deceased,1,615
16,life-me,334,other,1,505
16,life-me,335,theirs,1,566
16,life-me,336,alive,1,482
16,life-me,337,them,1,440
16,life-me,338,their,1,391
16,life-me,339,they,1,427
16,life-me,340,lifeless,1,557
16,life-me,341,suicide,1,774
16,life-me,342,live,1,705
16,life-me,343,funeral,1,773
16,life-me,344,self,1,1531
16,life-me,345,survive,1,698
16,life-me,346,mine,1,558
16,life-me,347,my,1,547
16,life-me,348,die,1,673
16,life-me,349,I,1,714
16,life-me,350,myself,1,439
16,life-me,351,thrive,1,615
17,death-me,352,die,1,965
17,death-me,353,deceased,1,666
17,death-me,354,self,1,499
17,death-me,355,alive,1,648
