BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,I,0,0
-1,death-me,3,theirs,0,0
-1,death-me,4,lifeless,1,1190
-1,death-me,5,survive,1,841
-1,death-me,6,deceased,1,797
-1,death-me,7,die,1,890
-1,death-me,8,funeral,1,774
-1,death-me,9,them,0,0
-1,death-me,10,suicide,1,815
-1,death-me,11,self,1,973
0,life-me,12,deceased,1,1349
0,life-me,13,their,1,1774
0,life-me,14,my,1,773
0,life-me,15,I,1,640
0,life-me,16,them,1,769
0,life-me,17,die,1,899
0,life-me,18,thrive,1,773
0,life-me,19,they,1,1081
0,life-me,20,live,1,972
0,life-me,21,myself,1,689
0,life-me,22,funeral,1,751
0,life-me,23,breathing,1,732
0,life-me,24,theirs,1,1124
0,life-me,25,other,1,841
0,life-me,26,suicide,1,797
0,life-me,27,mine,1,766
0,life-me,28,alive,1,965
0,life-me,29,self,1,988
0,life-me,30,survive,1,1018
0,life-me,31,lifeless,1,756
1,death-me,32,theirs,1,765
1,death-me,33,alive,1,1166
1,death-me,34,I,1,857
1,death-me,35,other,1,857
1,death-me,36,mine,1,682
1,death-me,37,myself,1,598
1,death-me,38,thrive,1,1032
1,death-me,39,suicide,1,1123
1,death-me,40,funeral,1,1215
1,death-me,41,lifeless,1,1176
1,death-me,42,breathing,1,1073
1,death-me,43,survive,1,1290
1,death-me,44,self,1,713
1,death-me,45,they,1,874
1,death-me,46,live,1,1040
1,death-me,47,die,1,1173
1,death-me,48,my,1,911
1,death-me,49,their,1,833
1,death-me,50,deceased,1,1731
1,death-me,51,them,1,928
2,life-me,52,theirs,1,1266
2,life-me,53,die,1,932
2,life-me,54,my,1,622
2,life-me,55,self,1,932
2,life-me,56,breathing,1,603
2,life-me,57,alive,1,498
2,life-me,58,I,1,672
2,life-me,59,live,1,790
2,life-me,60,mine,1,666
2,life-me,61,they,1,690
2,life-me,62,lifeless,1,766
2,life-me,63,them,1,706
2,life-me,64,funeral,1,711
