BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,life-me,2,self,1,1324
-1,life-me,3,theirs,1,1081
-1,life-me,4,suicide,1,1407
-1,life-me,5,alive,1,957
-1,life-me,6,my,1,1147
-1,life-me,7,mine,1,849
-1,life-me,8,deceased,1,1065
-1,life-me,9,them,1,956
-1,life-me,10,lifeless,1,947
-1,life-me,11,survive,1,1097
0,death-me,12,mine,1,879
0,death-me,13,deceased,1,963
0,death-me,14,myself,1,815
0,death-me,15,die,1,925
0,death-me,16,breathing,1,757
0,death-me,17,live,1,1233
0,death-me,18,alive,1,976
0,death-me,19,their,1,1072
0,death-me,20,my,1,766
0,death-me,21,suicide,1,822
0,death-me,22,they,1,824
0,death-me,23,lifeless,1,1758
0,death-me,24,them,1,998
0,death-me,25,thrive,1,1258
0,death-me,26,I,1,946
0,death-me,27,survive,1,1039
0,death-me,28,other,1,1187
0,death-me,29,funeral,1,898
0,death-me,30,self,1,874
0,death-me,31,theirs,1,697
1,life-me,32,them,1,982
1,life-me,33,they,1,1073
1,life-me,34,lifeless,1,1015
1,life-me,35,alive,1,850
1,life-me,36,breathing,1,855
1,life-me,37,live,1,1299
1,life-me,38,I,1,748
1,life-me,39,mine,1,749
1,life-me,40,suicide,1,941
1,life-me,41,self,1,865
1,life-me,42,myself,1,848
1,life-me,43,survive,1,1022
1,life-me,44,die,1,640
1,life-me,45,funeral,1,923
1,life-me,46,my,1,865
1,life-me,47,thrive,1,1298
1,life-me,48,their,1,698
1,life-me,49,deceased,1,1182
1,life-me,50,other,1,1006
1,life-me,51,theirs,1,867
2,death-me,52,funeral,1,759
2,death-me,53,their,1,782
2,death-me,54,breathing,1,1149
2,death-me,55,myself,1,641
2,death-me,56,live,1,897
2,death-me,57,I,1,1126
2,death-me,58,mine,1,815
2,death-me,59,thrive,1,1263
2,death-me,60,deceased,1,815
2,death-me,61,they,1,1030
2,death-me,62,self,1,974
2,death-me,63,die,1,687
2,death-me,64,survive,1,698
2,death-me,65,lifeless,1,1653
2,death-me,66,them,1,831
2,death-me,67,alive,1,898
2,death-me,68,theirs,1,898
2,death-me,69,suicide,1,657
2,death-me,70,other,1,672
2,death-me,71,my,1,893
3,life-me,72,alive,1,991
3,life-me,73,theirs,1,679
3,life-me,74,mine,1,882
3,life-me,75,they,1,642
3,life-me,76,deceased,1,1749
3,life-me,77,myself,1,681
3,life-me,78,their,1,823
3,life-me,79,suicide,1,839
3,life-me,80,I,1,884
3,life-me,81,other,1,740
3,life-me,82,self,1,815
3,life-me,83,thrive,1,856
3,life-me,84,them,1,748
