BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,I,0,0
-1,death-me,3,their,1,1357
-1,death-me,4,suicide,1,1155
-1,death-me,5,live,1,1107
-1,death-me,6,deceased,1,1398
-1,death-me,7,alive,1,1056
-1,death-me,8,mine,1,1413
-1,death-me,9,funeral,1,998
-1,death-me,10,they,1,790
-1,death-me,11,survive,1,955
0,life-me,12,mine,1,972
0,life-me,13,I,1,1058
0,life-me,14,myself,1,721
0,life-me,15,suicide,1,1023
0,life-me,16,my,1,1333
0,life-me,17,die,1,1373
0,life-me,18,they,1,1198
0,life-me,19,them,1,666
0,life-me,20,survive,1,1039
0,life-me,21,thrive,1,1449
0,life-me,22,deceased,1,891
0,life-me,23,theirs,1,1057
0,life-me,24,funeral,1,1131
0,life-me,25,breathing,1,848
0,life-me,26,their,1,840
0,life-me,27,live,1,973
0,life-me,28,other,1,923
0,life-me,29,lifeless,1,1031
0,life-me,30,alive,1,808
0,life-me,31,self,1,1217
1,death-me,32,die,1,1022
1,death-me,33,breathing,1,1099
1,death-me,34,suicide,1,1265
1,death-me,35,them,1,974
1,death-me,36,funeral,1,1148
1,death-me,37,their,1,831
1,death-me,38,other,1,1131
1,death-me,39,live,1,1072
1,death-me,40,I,1,899
1,death-me,41,deceased,1,1081
1,death-me,42,myself,1,1099
1,death-me,43,survive,1,998
1,death-me,44,alive,1,899
1,death-me,45,they,1,949
1,death-me,46,self,1,1274
1,death-me,47,mine,1,1265
1,death-me,48,thrive,1,956
1,death-me,49,lifeless,1,1183
1,death-me,50,my,1,915
1,death-me,51,theirs,1,1215
2,life-me,52,lifeless,1,1525
2,life-me,53,funeral,1,699
2,life-me,54,deceased,1,808
2,life-me,55,self,1,915
2,life-me,56,live,1,1006
2,life-me,57,mine,1,1156
2,life-me,58,theirs,1,897
2,life-me,59,their,1,898
2,life-me,60,they,1,817
2,life-me,61,thrive,1,1032
2,life-me,62,breathing,1,799
2,life-me,63,alive,1,851
2,life-me,64,other,1,848
2,life-me,65,survive,1,1157
2,life-me,66,die,1,1114
2,life-me,67,myself,1,1099
2,life-me,68,my,1,865
2,life-me,69,them,1,1050
2,life-me,70,I,1,882
2,life-me,71,suicide,1,1008
3,death-me,72,self,1,957
3,death-me,73,I,1,707
3,death-me,74,theirs,1,781
3,death-me,75,funeral,1,1023
3,death-me,76,suicide,1,867
3,death-me,77,other,1,1131
3,death-me,78,lifeless,1,956
3,death-me,79,deceased,1,890
3,death-me,80,their,1,824
3,death-me,81,thrive,1,1123
3,death-me,82,them,1,856
3,death-me,83,mine,1,711
3,death-me,84,my,1,889
3,death-me,85,die,1,691
3,death-me,86,survive,1,1498
3,death-me,87,alive,1,1082
3,death-me,88,they,1,957
3,death-me,89,live,1,994
3,death-me,90,myself,1,1665
3,death-me,91,breathing,1,873
4,life-me,92,deceased,1,1699
4,life-me,93,self,1,1357
4,life-me,94,their,1,1208
4,life-me,95,my,1,791
4,life-me,96,survive,1,1133
4,life-me,97,lifeless,1,999
4,life-me,98,mine,1,982
4,life-me,99,suicide,1,855
4,life-me,100,myself,1,1274
4,life-me,101,breathing,1,1006
4,life-me,102,funeral,1,1224
4,life-me,103,thrive,1,964
4,life-me,104,them,1,897
4,life-me,105,other,1,1122
4,life-me,106,they,1,765
4,life-me,107,theirs,1,1007
4,life-me,108,alive,1,1032
4,life-me,109,die,1,680
4,life-me,110,I,1,1119
4,life-me,111,live,1,906
5,death-me,112,my,1,1006
5,death-me,113,them,1,808
5,death-me,114,thrive,1,1015
5,death-me,115,their,1,871
5,death-me,116,die,1,1098
5,death-me,117,alive,1,840
5,death-me,118,I,1,824
5,death-me,119,other,1,757
5,death-me,120,lifeless,1,1807
5,death-me,121,suicide,0,0
5,death-me,122,they,1,970
5,death-me,123,survive,1,1665
5,death-me,124,breathing,1,1040
5,death-me,125,theirs,1,999
5,death-me,126,deceased,1,1108
5,death-me,127,funeral,1,1047
5,death-me,128,live,1,1301
5,death-me,129,myself,1,888
5,death-me,130,self,1,937
5,death-me,131,mine,1,998
6,life-me,132,breathing,1,1692
6,life-me,133,survive,1,849
6,life-me,134,I,1,1080
6,life-me,135,myself,1,882
6,life-me,136,funeral,1,823
6,life-me,137,mine,1,818
6,life-me,138,die,1,792
6,life-me,139,deceased,1,780
6,life-me,140,live,1,855
6,life-me,141,their,1,700
6,life-me,142,lifeless,1,1150
6,life-me,143,other,1,1655
6,life-me,144,them,1,1040
6,life-me,145,suicide,1,1589
6,life-me,146,thrive,1,1373
6,life-me,147,self,0,0
6,life-me,148,my,1,849
6,life-me,149,alive,1,977
6,life-me,150,theirs,1,883
6,life-me,151,they,1,1265
7,death-me,152,they,1,1263
7,death-me,153,breathing,1,1549
7,death-me,154,suicide,1,940
7,death-me,155,myself,0,0
7,death-me,156,my,1,1241
7,death-me,157,their,1,799
7,death-me,158,them,1,848
7,death-me,159,survive,1,1532
7,death-me,160,die,1,840
7,death-me,161,other,1,1382
7,death-me,162,thrive,1,989
7,death-me,163,deceased,1,1015
7,death-me,164,live,1,1032
7,death-me,165,I,1,1215
7,death-me,166,self,1,798
7,death-me,167,theirs,1,807
7,death-me,168,funeral,1,840
7,death-me,169,lifeless,1,923
7,death-me,170,alive,1,1017
7,death-me,171,mine,1,957
8,life-me,172,other,1,1332
8,life-me,173,alive,1,1057
8,life-me,174,suicide,1,1431
8,life-me,175,my,1,1348
8,life-me,176,mine,1,765
8,life-me,177,self,1,1108
8,life-me,178,live,1,1049
8,life-me,179,their,1,1232
8,life-me,180,they,1,772
8,life-me,181,theirs,1,724
8,life-me,182,funeral,1,848
8,life-me,183,deceased,1,648
8,life-me,184,I,1,708
8,life-me,185,die,1,764
8,life-me,186,them,1,722
8,life-me,187,myself,1,756
8,life-me,188,lifeless,1,874
8,life-me,189,breathing,1,739
8,life-me,190,survive,1,954
8,life-me,191,thrive,1,973
9,death-me,192,other,1,1623
9,death-me,193,live,1,1315
9,death-me,194,theirs,1,840
9,death-me,195,deceased,1,1081
9,death-me,196,funeral,1,822
9,death-me,197,self,1,1282
9,death-me,198,breathing,1,957
9,death-me,199,mine,1,1171
9,death-me,200,thrive,1,1498
9,death-me,201,lifeless,1,841
9,death-me,202,their,1,915
9,death-me,203,them,1,806
9,death-me,204,suicide,1,1641
