BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,life-me,2,my,1,1165
-1,life-me,3,their,1,806
-1,life-me,4,funeral,1,1156
-1,life-me,5,thrive,1,1223
-1,life-me,6,myself,1,799
-1,life-me,7,mine,1,673
-1,life-me,8,I,1,663
-1,life-me,9,deceased,1,890
-1,life-me,10,they,1,815
-1,life-me,11,survive,1,949
0,death-me,12,myself,1,1107
0,death-me,13,I,1,714
0,death-me,14,them,1,707
0,death-me,15,they,1,863
0,death-me,16,suicide,1,1022
0,death-me,17,deceased,1,597
0,death-me,18,other,1,1139
0,death-me,19,breathing,1,1581
0,death-me,20,funeral,1,1082
0,death-me,21,theirs,1,856
0,death-me,22,their,1,608
0,death-me,23,lifeless,1,931
0,death-me,24,mine,1,706
0,death-me,25,live,1,891
0,death-me,26,alive,1,821
0,death-me,27,survive,1,1860
0,death-me,28,self,1,629
0,death-me,29,thrive,1,1756
0,death-me,30,die,1,898
0,death-me,31,my,1,774
1,life-me,32,self,1,865
1,life-me,33,live,1,748
1,life-me,34,my,1,537
1,life-me,35,suicide,1,621
1,life-me,36,alive,1,789
1,life-me,37,funeral,1,614
1,life-me,38,die,1,580
1,life-me,39,other,1,888
1,life-me,40,mine,1,623
1,life-me,41,theirs,1,624
1,life-me,42,thrive,1,1065
1,life-me,43,survive,1,932
1,life-me,44,breathing,1,670
1,life-me,45,deceased,1,583
1,life-me,46,them,1,864
1,life-me,47,they,1,882
1,life-me,48,I,1,782
1,life-me,49,lifeless,1,965
1,life-me,50,their,1,779
1,life-me,51,myself,1,639
2,death-me,52,my,1,657
2,death-me,53,their,1,614
2,death-me,54,mine,1,713
2,death-me,55,thrive,1,1091
2,death-me,56,self,1,756
2,death-me,57,breathing,1,807
2,death-me,58,funeral,1,758
2,death-me,59,die,1,771
2,death-me,60,alive,1,1848
2,death-me,61,theirs,1,873
2,death-me,62,them,1,640
2,death-me,63,myself,1,597
2,death-me,64,suicide,1,640
2,death-me,65,live,1,798
