BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,I,1,882000
-1,death-me,3,theirs,1,882000
-1,death-me,4,suicide,1,789000
-1,death-me,5,breathing,1,1015000
-1,death-me,6,live,1,806000
-1,death-me,7,myself,1,731000
-1,death-me,8,their,1,923000
-1,death-me,9,die,1,815000
-1,death-me,10,survive,1,840000
-1,death-me,11,other,1,1224000
0,life-me,12,their,1,857000
0,life-me,13,my,1,1290000
0,life-me,14,mine,0,0
0,life-me,15,self,1,798000
0,life-me,16,thrive,1,1141000
0,life-me,17,they,1,1790000
0,life-me,18,breathing,1,1040000
0,life-me,19,theirs,1,697000
0,life-me,20,I,1,656000
0,life-me,21,survive,1,739000
0,life-me,22,suicide,1,633000
0,life-me,23,other,1,909000
0,life-me,24,myself,1,693000
0,life-me,25,them,1,714000
0,life-me,26,lifeless,1,1007000
0,life-me,27,die,1,740000
0,life-me,28,alive,1,540000
0,life-me,29,live,1,723000
0,life-me,30,funeral,1,632000
0,life-me,31,deceased,1,532000
1,death-me,32,I,1,949000
1,death-me,33,other,1,1073000
1,death-me,34,alive,1,882000
1,death-me,35,survive,1,831000
1,death-me,36,they,1,915000
1,death-me,37,them,1,691000
1,death-me,38,my,1,674000
1,death-me,39,theirs,1,681000
1,death-me,40,live,1,758000
1,death-me,41,suicide,1,1064000
1,death-me,42,myself,1,797000
1,death-me,43,mine,1,656000
1,death-me,44,die,1,622000
1,death-me,45,thrive,1,691000
1,death-me,46,their,1,849000
1,death-me,47,funeral,1,594000
1,death-me,48,deceased,1,507000
1,death-me,49,lifeless,1,698000
1,death-me,50,breathing,1,649000
1,death-me,51,self,1,612000
2,life-me,52,I,1,656000
2,life-me,53,my,1,598000
2,life-me,54,self,1,624000
2,life-me,55,breathing,1,666000
2,life-me,56,other,1,773000
2,life-me,57,funeral,1,658000
2,life-me,58,lifeless,1,1440000
2,life-me,59,them,1,1264000
2,life-me,60,their,1,848000
2,life-me,61,die,1,1131000
2,life-me,62,theirs,1,1090000
2,life-me,63,deceased,1,631000
2,life-me,64,alive,1,568000
2,life-me,65,suicide,1,679000
2,life-me,66,they,1,1119000
2,life-me,67,thrive,1,740000
2,life-me,68,survive,1,641000
2,life-me,69,myself,1,957000
2,life-me,70,mine,1,540000
2,life-me,71,live,1,655000
3,death-me,72,their,1,1027000
3,death-me,73,die,1,1234000
3,death-me,74,theirs,1,731000
3,death-me,75,alive,1,1039000
3,death-me,76,they,1,890000
3,death-me,77,myself,1,613000
3,death-me,78,deceased,1,871000
3,death-me,79,survive,1,849000
3,death-me,80,thrive,1,772000
3,death-me,81,mine,1,648000
3,death-me,82,I,1,841000
3,death-me,83,lifeless,1,706000
3,death-me,84,them,1,624000
3,death-me,85,my,1,749000
3,death-me,86,self,1,1158000
3,death-me,87,other,1,682000
3,death-me,88,suicide,1,698000
3,death-me,89,live,1,606000
3,death-me,90,breathing,1,1040000
3,death-me,91,funeral,1,606000
4,life-me,92,funeral,1,949000
4,life-me,93,their,1,590000
4,life-me,94,they,1,732000
4,life-me,95,self,1,623000
4,life-me,96,die,1,882000
4,life-me,97,breathing,1,690000
4,life-me,98,live,1,766000
4,life-me,99,mine,1,653000
4,life-me,100,survive,1,839000
4,life-me,101,alive,1,623000
4,life-me,102,I,1,667000
4,life-me,103,my,1,606000
4,life-me,104,thrive,1,648000
4,life-me,105,deceased,1,630000
4,life-me,106,myself,1,673000
4,life-me,107,other,1,517000
4,life-me,108,suicide,1,807000
4,life-me,109,them,1,740000
4,life-me,110,lifeless,1,823000
4,life-me,111,theirs,1,698000
5,death-me,112,theirs,1,664000
5,death-me,113,funeral,1,531000
5,death-me,114,suicide,1,548000
5,death-me,115,other,1,623000
5,death-me,116,myself,1,532000
5,death-me,117,live,1,764000
5,death-me,118,self,1,590000
5,death-me,119,breathing,1,648000
5,death-me,120,lifeless,1,985000
5,death-me,121,mine,1,557000
5,death-me,122,my,1,464000
5,death-me,123,thrive,1,623000
5,death-me,124,I,1,607000
5,death-me,125,they,1,701000
5,death-me,126,deceased,1,498000
5,death-me,127,survive,1,572000
5,death-me,128,die,1,566000
5,death-me,129,them,1,515000
5,death-me,130,alive,1,765000
5,death-me,131,their,1,1090000
