BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,life-me,2,I,0,0
-1,life-me,3,other,1,1814
-1,life-me,4,lifeless,1,1558
-1,life-me,5,survive,1,974
-1,life-me,6,my,1,1532
-1,life-me,7,suicide,1,2031
-1,life-me,8,self,1,1216
-1,life-me,9,myself,1,940
-1,life-me,10,breathing,1,699
-1,life-me,11,alive,1,575
0,death-me,12,their,1,1657
0,death-me,13,them,1,950
0,death-me,14,alive,1,1249
0,death-me,15,breathing,1,1330
0,death-me,16,myself,1,1215
0,death-me,17,mine,1,974
0,death-me,18,I,1,1190
0,death-me,19,lifeless,1,1058
0,death-me,20,deceased,1,674
0,death-me,21,die,1,643
0,death-me,22,live,1,1107
0,death-me,23,my,1,1148
0,death-me,24,other,1,774
0,death-me,25,they,1,916
0,death-me,26,survive,1,890
0,death-me,27,self,1,991
0,death-me,28,theirs,1,948
0,death-me,29,thrive,1,990
0,death-me,30,funeral,1,707
0,death-me,31,suicide,1,733
1,life-me,32,my,1,1462
1,life-me,33,lifeless,1,1308
1,life-me,34,die,1,942
1,life-me,35,other,1,1082
1,life-me,36,mine,1,848
1,life-me,37,them,1,691
1,life-me,38,breathing,1,1081
1,life-me,39,funeral,1,849
1,life-me,40,alive,1,983
1,life-me,41,myself,1,774
1,life-me,42,suicide,1,599
1,life-me,43,I,1,782
1,life-me,44,their,1,990
1,life-me,45,self,1,672
1,life-me,46,deceased,1,922
1,life-me,47,theirs,1,742
1,life-me,48,live,1,933
1,life-me,49,they,1,832
1,life-me,50,survive,1,890
1,life-me,51,thrive,1,832
2,death-me,52,thrive,1,1890
2,death-me,53,my,1,1074
2,death-me,54,die,1,715
2,death-me,55,other,1,1773
2,death-me,56,them,1,1149
2,death-me,57,mine,1,1132
2,death-me,58,deceased,1,891
2,death-me,59,I,1,956
2,death-me,60,suicide,1,748
2,death-me,61,they,1,633
2,death-me,62,alive,1,998
2,death-me,63,myself,1,748
2,death-me,64,self,1,757
2,death-me,65,lifeless,1,807
2,death-me,66,their,1,841
2,death-me,67,live,1,827
2,death-me,68,survive,1,1048
2,death-me,69,theirs,1,873
2,death-me,70,funeral,1,906
2,death-me,71,breathing,1,697
3,life-me,72,myself,1,1556
3,life-me,73,thrive,1,1051
3,life-me,74,they,1,806
3,life-me,75,their,1,707
3,life-me,76,live,1,707
3,life-me,77,alive,1,619
3,life-me,78,survive,1,1098
3,life-me,79,them,1,1104
3,life-me,80,other,1,1074
3,life-me,81,breathing,1,732
3,life-me,82,deceased,1,690
3,life-me,83,my,1,698
3,life-me,84,theirs,1,677
3,life-me,85,I,1,1205
3,life-me,86,funeral,1,791
3,life-me,87,die,1,666
3,life-me,88,mine,1,1113
3,life-me,89,self,1,715
3,life-me,90,suicide,1,473
3,life-me,91,lifeless,1,807
4,death-me,92,theirs,1,1832
4,death-me,93,lifeless,1,1009
4,death-me,94,my,1,740
4,death-me,95,live,1,773
4,death-me,96,alive,1,782
4,death-me,97,I,1,933
4,death-me,98,their,1,639
4,death-me,99,they,1,540
4,death-me,100,them,1,657
4,death-me,101,self,1,1124
4,death-me,102,suicide,1,833
4,death-me,103,die,1,623
4,death-me,104,deceased,1,681
4,death-me,105,survive,1,707
4,death-me,106,other,1,692
4,death-me,107,myself,1,640
4,death-me,108,thrive,1,699
4,death-me,109,funeral,1,507
4,death-me,110,mine,1,908
4,death-me,111,breathing,1,1099
5,life-me,112,myself,0,0
5,life-me,113,self,1,832
5,life-me,114,mine,1,724
5,life-me,115,funeral,1,922
5,life-me,116,I,1,758
5,life-me,117,alive,1,582
5,life-me,118,breathing,1,691
5,life-me,119,thrive,1,673
5,life-me,120,deceased,1,544
5,life-me,121,survive,1,682
5,life-me,122,them,1,857
5,life-me,123,other,1,682
5,life-me,124,lifeless,1,840
5,life-me,125,die,1,749
5,life-me,126,they,1,831
5,life-me,127,my,1,590
5,life-me,128,theirs,1,632
5,life-me,129,their,1,481
5,life-me,130,live,1,648
5,life-me,131,suicide,1,540
6,death-me,132,they,1,1833
6,death-me,133,mine,1,707
6,death-me,134,my,1,848
6,death-me,135,I,1,657
6,death-me,136,breathing,1,671
6,death-me,137,die,1,503
6,death-me,138,theirs,1,838
6,death-me,139,thrive,1,575
6,death-me,140,funeral,1,723
6,death-me,141,myself,1,948
6,death-me,142,their,1,615
6,death-me,143,self,1,614
6,death-me,144,live,1,732
6,death-me,145,them,1,815
6,death-me,146,deceased,1,824
6,death-me,147,alive,1,1083
6,death-me,148,suicide,1,650
6,death-me,149,lifeless,1,733
6,death-me,150,survive,1,792
6,death-me,151,other,1,632
7,life-me,152,my,1,1424
7,life-me,153,survive,1,958
7,life-me,154,thrive,1,783
7,life-me,155,breathing,1,616
7,life-me,156,I,1,541
7,life-me,157,live,1,605
7,life-me,158,mine,1,616
7,life-me,159,myself,1,558
7,life-me,160,theirs,1,740
7,life-me,161,funeral,1,592
7,life-me,162,alive,1,634
7,life-me,163,other,1,599
7,life-me,164,die,1,741
7,life-me,165,their,1,666
7,life-me,166,deceased,1,675
7,life-me,167,them,1,690
7,life-me,168,lifeless,1,673
7,life-me,169,suicide,1,522
7,life-me,170,they,1,813
7,life-me,171,self,1,663
8,death-me,172,die,1,1623
8,death-me,173,them,1,640
8,death-me,174,they,1,632
8,death-me,175,funeral,1,716
8,death-me,176,other,1,617
8,death-me,177,deceased,1,698
8,death-me,178,I,1,1158
8,death-me,179,live,1,932
8,death-me,180,survive,1,682
8,death-me,181,theirs,1,658
8,death-me,182,breathing,1,1123
8,death-me,183,myself,1,814
8,death-me,184,thrive,1,716
8,death-me,185,self,1,731
8,death-me,186,mine,1,641
8,death-me,187,alive,1,715
8,death-me,188,suicide,1,857
8,death-me,189,my,1,757
8,death-me,190,lifeless,1,898
8,death-me,191,their,1,637
9,life-me,192,die,1,1606
9,life-me,193,theirs,1,776
9,life-me,194,funeral,1,732
9,life-me,195,other,1,758
9,life-me,196,lifeless,1,873
9,life-me,197,survive,1,783
9,life-me,198,breathing,1,632
9,life-me,199,thrive,1,773
9,life-me,200,my,1,607
9,life-me,201,deceased,1,566
9,life-me,202,myself,1,826
9,life-me,203,them,1,774
9,life-me,204,live,1,774
9,life-me,205,alive,1,666
9,life-me,206,I,1,599
9,life-me,207,their,1,683
9,life-me,208,suicide,1,690
9,life-me,209,they,1,777
9,life-me,210,self,1,724
9,life-me,211,mine,1,782
10,death-me,212,I,1,1573
10,death-me,213,them,1,841
10,death-me,214,other,1,716
10,death-me,215,mine,1,582
10,death-me,216,suicide,1,756
10,death-me,217,theirs,1,638
10,death-me,218,thrive,1,940
10,death-me,219,deceased,1,607
10,death-me,220,they,1,583
10,death-me,221,live,1,712
10,death-me,222,alive,1,591
10,death-me,223,survive,1,674
10,death-me,224,breathing,1,598
10,death-me,225,self,1,715
10,death-me,226,funeral,1,715
10,death-me,227,myself,1,665
10,death-me,228,their,1,807
10,death-me,229,lifeless,1,923
10,death-me,230,my,1,907
10,death-me,231,die,1,733
11,life-me,232,them,1,2016
11,life-me,233,funeral,1,906
11,life-me,234,deceased,1,725
11,life-me,235,their,1,685
11,life-me,236,I,1,558
11,life-me,237,lifeless,1,616
11,life-me,238,live,1,900
11,life-me,239,myself,1,597
11,life-me,240,other,1,665
11,life-me,241,theirs,1,666
11,life-me,242,die,1,649
11,life-me,243,my,1,734
