BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,life-me,2,I,1,1056000
-1,life-me,3,them,1,1797000
-1,life-me,4,lifeless,1,1848000
-1,life-me,5,thrive,1,1140000
-1,life-me,6,their,1,1624000
-1,life-me,7,theirs,1,1782000
-1,life-me,8,die,1,1657000
-1,life-me,9,live,1,915000
-1,life-me,10,myself,1,1840000
-1,life-me,11,breathing,1,809000
0,death-me,12,survive,1,1458000
0,death-me,13,breathing,1,916000
0,death-me,14,theirs,1,965000
0,death-me,15,I,1,1557000
0,death-me,16,suicide,1,1148000
0,death-me,17,mine,0,0
0,death-me,18,other,1,1090000
0,death-me,19,them,1,1581000
0,death-me,20,funeral,1,1322000
0,death-me,21,my,1,1074000
0,death-me,22,they,1,865000
0,death-me,23,deceased,1,872000
0,death-me,24,myself,1,1073000
0,death-me,25,lifeless,1,966000
0,death-me,26,die,1,787000
0,death-me,27,their,1,1251000
0,death-me,28,alive,1,1091000
0,death-me,29,self,1,724000
0,death-me,30,live,1,793000
0,death-me,31,thrive,1,1015000
1,life-me,32,survive,1,1099000
1,life-me,33,I,1,940000
1,life-me,34,alive,1,800000
1,life-me,35,myself,1,649000
1,life-me,36,breathing,1,653000
1,life-me,37,thrive,1,826000
1,life-me,38,they,1,949000
1,life-me,39,suicide,1,715000
1,life-me,40,funeral,1,990000
1,life-me,41,theirs,1,708000
1,life-me,42,their,1,614000
1,life-me,43,die,1,666000
1,life-me,44,lifeless,1,940000
1,life-me,45,them,1,757000
1,life-me,46,self,1,573000
1,life-me,47,my,1,732000
1,life-me,48,other,1,878000
1,life-me,49,live,0,0
1,life-me,50,deceased,1,748000
1,life-me,51,mine,1,773000
2,death-me,52,their,1,1523000
2,death-me,53,other,1,757000
2,death-me,54,theirs,1,624000
2,death-me,55,myself,1,1436000
2,death-me,56,lifeless,1,1082000
2,death-me,57,deceased,1,657000
2,death-me,58,die,1,574000
2,death-me,59,live,1,516000
2,death-me,60,suicide,1,790000
2,death-me,61,thrive,1,824000
2,death-me,62,alive,1,783000
2,death-me,63,funeral,1,753000
2,death-me,64,them,1,823000
2,death-me,65,breathing,1,747000
2,death-me,66,self,1,748000
2,death-me,67,mine,1,682000
2,death-me,68,survive,1,741000
2,death-me,69,I,1,1774000
2,death-me,70,my,1,649000
2,death-me,71,they,1,841000
3,life-me,72,suicide,1,991000
3,life-me,73,deceased,1,648000
3,life-me,74,their,1,649000
3,life-me,75,lifeless,1,724000
3,life-me,76,funeral,1,657000
3,life-me,77,live,1,931000
3,life-me,78,theirs,1,1057000
3,life-me,79,survive,1,726000
3,life-me,80,myself,1,782000
3,life-me,81,them,1,724000
3,life-me,82,die,1,673000
3,life-me,83,breathing,1,710000
3,life-me,84,they,1,857000
3,life-me,85,I,1,890000
3,life-me,86,self,1,735000
3,life-me,87,mine,1,615000
3,life-me,88,thrive,1,1088000
3,life-me,89,alive,1,791000
3,life-me,90,other,1,957000
3,life-me,91,my,1,789000
4,death-me,92,self,0,0
4,death-me,93,thrive,0,0
4,death-me,94,their,1,765000
4,death-me,95,my,1,773000
4,death-me,96,mine,1,816000
4,death-me,97,myself,1,841000
4,death-me,98,suicide,1,732000
4,death-me,99,survive,0,0
4,death-me,100,deceased,1,956000
4,death-me,101,die,1,735000
4,death-me,102,other,0,0
4,death-me,103,they,1,1124000
4,death-me,104,I,1,1274000
4,death-me,105,alive,1,1232000
4,death-me,106,funeral,1,1019000
4,death-me,107,breathing,1,1256000
4,death-me,108,theirs,0,0
4,death-me,109,lifeless,1,1274000
4,death-me,110,live,0,0
4,death-me,111,them,1,1792000
5,life-me,112,myself,0,0
5,life-me,113,survive,1,156000
5,life-me,114,other,1,888000
5,life-me,115,die,1,1415000
5,life-me,116,funeral,1,856000
5,life-me,117,thrive,1,1306000
5,life-me,118,lifeless,1,1340000
5,life-me,119,self,1,773000
5,life-me,120,my,1,647000
5,life-me,121,I,1,657000
5,life-me,122,suicide,1,898000
5,life-me,123,live,1,963000
5,life-me,124,theirs,1,915000
5,life-me,125,deceased,1,1591000
5,life-me,126,their,1,1990000
5,life-me,127,them,1,609000
5,life-me,128,they,1,524000
5,life-me,129,mine,1,782000
5,life-me,130,breathing,1,773000
5,life-me,131,alive,1,967000
