BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,myself,1,1194000
-1,death-me,3,their,1,915000
-1,death-me,4,suicide,1,791000
-1,death-me,5,live,1,973000
-1,death-me,6,deceased,1,807000
-1,death-me,7,my,1,757000
-1,death-me,8,I,1,649000
-1,death-me,9,die,1,1024000
-1,death-me,10,theirs,1,714000
-1,death-me,11,them,1,573000
0,life-me,12,funeral,1,1399000
0,life-me,13,their,1,1145000
0,life-me,14,live,1,874000
0,life-me,15,thrive,1,993000
0,life-me,16,suicide,1,791000
0,life-me,17,breathing,1,932000
0,life-me,18,alive,1,733000
0,life-me,19,other,1,1282000
0,life-me,20,deceased,1,932000
0,life-me,21,them,1,857000
0,life-me,22,theirs,1,756000
0,life-me,23,myself,1,789000
0,life-me,24,mine,1,656000
0,life-me,25,my,1,548000
0,life-me,26,self,1,765000
0,life-me,27,survive,1,882000
0,life-me,28,they,1,790000
0,life-me,29,die,1,874000
0,life-me,30,lifeless,1,1223000
0,life-me,31,I,1,1032000
1,death-me,32,their,1,1065000
1,death-me,33,survive,1,857000
1,death-me,34,theirs,1,740000
1,death-me,35,alive,1,765000
1,death-me,36,other,1,931000
1,death-me,37,myself,1,799000
1,death-me,38,suicide,1,815000
1,death-me,39,die,1,655000
1,death-me,40,self,1,1033000
1,death-me,41,thrive,1,1307000
1,death-me,42,my,1,699000
1,death-me,43,I,1,823000
1,death-me,44,live,1,615000
1,death-me,45,breathing,1,1585000
1,death-me,46,funeral,1,883000
1,death-me,47,lifeless,1,998000
1,death-me,48,mine,1,705000
1,death-me,49,them,1,732000
1,death-me,50,they,1,831000
1,death-me,51,deceased,1,891000
2,life-me,52,they,1,1057000
2,life-me,53,funeral,1,915000
2,life-me,54,survive,1,698000
2,life-me,55,thrive,1,644000
2,life-me,56,myself,1,658000
2,life-me,57,I,1,722000
2,life-me,58,lifeless,1,1099000
2,life-me,59,mine,1,1099000
2,life-me,60,my,1,416000
2,life-me,61,live,1,840000
2,life-me,62,deceased,1,923000
2,life-me,63,suicide,1,1540000
2,life-me,64,self,1,857000
2,life-me,65,other,1,915000
2,life-me,66,die,1,907000
2,life-me,67,them,1,1529000
2,life-me,68,alive,1,1165000
2,life-me,69,their,1,741000
2,life-me,70,breathing,1,698000
2,life-me,71,theirs,1,667000
3,death-me,72,deceased,1,1179000
3,death-me,73,alive,1,874000
3,death-me,74,them,1,724000
3,death-me,75,my,1,924000
3,death-me,76,live,1,1499000
3,death-me,77,they,1,915000
3,death-me,78,self,1,898000
3,death-me,79,I,1,725000
3,death-me,80,mine,1,973000
3,death-me,81,suicide,1,790000
3,death-me,82,lifeless,1,958000
3,death-me,83,their,1,715000
3,death-me,84,other,1,1374000
3,death-me,85,breathing,1,822000
3,death-me,86,funeral,1,907000
3,death-me,87,die,1,826000
3,death-me,88,myself,1,666000
3,death-me,89,thrive,1,780000
3,death-me,90,theirs,1,1182000
3,death-me,91,survive,1,824000
4,life-me,92,funeral,1,1132000
4,life-me,93,thrive,1,932000
4,life-me,94,die,1,898000
4,life-me,95,they,1,674000
4,life-me,96,I,1,729000
4,life-me,97,self,1,707000
4,life-me,98,their,1,714000
4,life-me,99,my,1,848000
4,life-me,100,deceased,1,742000
4,life-me,101,survive,1,641000
4,life-me,102,breathing,1,658000
4,life-me,103,mine,1,811000
4,life-me,104,alive,1,631000
4,life-me,105,theirs,1,838000
4,life-me,106,lifeless,1,1473000
4,life-me,107,live,1,1174000
4,life-me,108,myself,1,600000
4,life-me,109,suicide,1,721000
4,life-me,110,them,1,1307000
4,life-me,111,other,1,829000
5,death-me,112,survive,1,1041000
5,death-me,113,I,1,748000
5,death-me,114,suicide,1,1323000
5,death-me,115,they,1,626000
5,death-me,116,alive,1,1006000
5,death-me,117,mine,1,1065000
5,death-me,118,funeral,1,615000
5,death-me,119,them,1,899000
5,death-me,120,thrive,1,1265000
5,death-me,121,lifeless,1,991000
5,death-me,122,their,1,1422000
5,death-me,123,live,1,982000
5,death-me,124,other,1,1516000
5,death-me,125,breathing,1,790000
5,death-me,126,theirs,0,0
5,death-me,127,die,1,890000
5,death-me,128,my,1,1257000
5,death-me,129,self,1,941000
5,death-me,130,deceased,1,1099000
5,death-me,131,myself,1,765000
