BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime
-1,death-me,2,mine,1,1564
-1,death-me,3,their,1,1123
-1,death-me,4,funeral,1,914
-1,death-me,5,alive,1,1497
-1,death-me,6,lifeless,1,1122
-1,death-me,7,breathing,1,1240
-1,death-me,8,survive,1,1071
-1,death-me,9,them,1,1163
-1,death-me,10,live,1,924
-1,death-me,11,I,1,947
0,life-me,12,mine,1,1048
0,life-me,13,my,1,1985
0,life-me,14,breathing,1,1523
0,life-me,15,suicide,1,1064
0,life-me,16,survive,1,1432
0,life-me,17,them,1,932
0,life-me,18,thrive,1,939
0,life-me,19,I,1,898
0,life-me,20,myself,1,831
0,life-me,21,deceased,1,905
0,life-me,22,alive,1,828
0,life-me,23,theirs,1,931
0,life-me,24,they,1,887
0,life-me,25,self,1,956
0,life-me,26,die,1,907
0,life-me,27,live,1,914
0,life-me,28,lifeless,1,905
0,life-me,29,their,1,1098
0,life-me,30,other,1,797
0,life-me,31,funeral,1,1005
1,death-me,32,other,1,1789
1,death-me,33,I,1,782
1,death-me,34,they,1,857
1,death-me,35,funeral,1,1231
1,death-me,36,survive,1,881
1,death-me,37,deceased,1,776
1,death-me,38,self,1,1299
1,death-me,39,die,1,1023
1,death-me,40,suicide,1,1316
1,death-me,41,thrive,1,738
1,death-me,42,lifeless,1,981
1,death-me,43,live,1,1040
1,death-me,44,myself,1,836
1,death-me,45,their,1,1407
1,death-me,46,my,1,1757
1,death-me,47,them,1,1264
1,death-me,48,breathing,1,823
1,death-me,49,alive,1,762
1,death-me,50,theirs,1,1191
1,death-me,51,mine,1,589
2,life-me,52,I,1,1314
2,life-me,53,my,1,797
2,life-me,54,mine,1,774
2,life-me,55,deceased,1,788
2,life-me,56,them,1,813
2,life-me,57,alive,1,798
2,life-me,58,other,1,858
2,life-me,59,lifeless,1,973
2,life-me,60,self,1,714
2,life-me,61,they,1,922
2,life-me,62,live,1,762
2,life-me,63,suicide,1,781
2,life-me,64,myself,1,831
2,life-me,65,breathing,1,937
2,life-me,66,theirs,1,731
2,life-me,67,thrive,1,1056
2,life-me,68,their,1,839
2,life-me,69,survive,1,747
