,BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime,Category,Match,Type
0,-1,death-me,2,I,1,882000,Me,1,2
1,-1,death-me,3,theirs,1,882000,Not me,0,2
2,-1,death-me,4,suicide,1,789000,Death,1,2
3,-1,death-me,5,breathing,1,1015000,Life,0,2
4,-1,death-me,6,live,1,806000,Life,0,2
5,-1,death-me,7,myself,1,731000,Me,1,2
6,-1,death-me,8,their,1,923000,Not me,0,2
7,-1,death-me,9,die,1,815000,Death,1,2
8,-1,death-me,10,survive,1,840000,Life,0,2
9,-1,death-me,11,other,1,1224000,Not me,0,2
10,0,life-me,12,their,1,857000,Not me,0,1
11,0,life-me,13,my,1,1290000,Me,1,1
12,0,life-me,14,mine,0,0,Me,1,1
13,0,life-me,15,self,1,798000,Me,1,1
14,0,life-me,16,thrive,1,1141000,Life,1,1
15,0,life-me,17,they,1,1790000,Not me,0,1
16,0,life-me,18,breathing,1,1040000,Life,1,1
17,0,life-me,19,theirs,1,697000,Not me,0,1
18,0,life-me,20,I,1,656000,Me,1,1
19,0,life-me,21,survive,1,739000,Life,1,1
20,0,life-me,22,suicide,1,633000,Death,0,1
21,0,life-me,23,other,1,909000,Not me,0,1
22,0,life-me,24,myself,1,693000,Me,1,1
23,0,life-me,25,them,1,714000,Not me,0,1
24,0,life-me,26,lifeless,1,1007000,Death,0,1
25,0,life-me,27,die,1,740000,Death,0,1
26,0,life-me,28,alive,1,540000,Life,1,1
27,0,life-me,29,live,1,723000,Life,1,1
28,0,life-me,30,funeral,1,632000,Death,0,1
29,0,life-me,31,deceased,1,532000,Death,0,1
30,1,death-me,32,I,1,949000,Me,1,2
31,1,death-me,33,other,1,1073000,Not me,0,2
32,1,death-me,34,alive,1,882000,Life,0,2
33,1,death-me,35,survive,1,831000,Life,0,2
34,1,death-me,36,they,1,915000,Not me,0,2
35,1,death-me,37,them,1,691000,Not me,0,2
36,1,death-me,38,my,1,674000,Me,1,2
37,1,death-me,39,theirs,1,681000,Not me,0,2
