,BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime,Category,Match,Type
0,-1,death-me,2,mine,1,1156,Me,1,2
1,-1,death-me,3,them,0,0,Not me,0,2
2,-1,death-me,4,die,1,1915,Death,1,2
3,-1,death-me,5,survive,1,1757,Life,0,2
4,-1,death-me,6,my,1,982,Me,1,2
5,-1,death-me,7,other,0,0,Not me,0,2
6,-1,death-me,8,they,1,1641,Not me,0,2
7,-1,death-me,9,lifeless,1,1157,Death,1,2
8,-1,death-me,10,breathing,1,1365,Life,0,2
9,-1,death-me,11,funeral,1,1107,Death,1,2
10,0,life-me,12,their,1,957,Not me,0,1
11,0,life-me,13,lifeless,1,1181,Death,0,1
12,0,life-me,14,they,1,1690,Not me,0,1
13,0,life-me,15,breathing,1,1040,Life,1,1
14,0,life-me,16,suicide,1,908,Death,0,1
15,0,life-me,17,theirs,1,1615,Not me,0,1
16,0,life-me,18,deceased,1,1014,Death,0,1
17,0,life-me,19,thrive,1,1132,Life,1,1
18,0,life-me,20,alive,1,931,Life,1,1
19,0,life-me,21,my,1,1081,Me,1,1
20,0,life-me,22,I,1,957,Me,1,1
21,0,life-me,23,mine,1,898,Me,1,1
22,0,life-me,24,survive,1,1107,Life,1,1
23,0,life-me,25,funeral,1,1023,Death,0,1
24,0,life-me,26,self,1,957,Me,1,1
25,0,life-me,27,die,1,992,Death,0,1
26,0,life-me,28,other,1,949,Not me,0,1
27,0,life-me,29,them,1,947,Not me,0,1
28,0,life-me,30,live,1,856,Life,1,1
29,0,life-me,31,myself,1,941,Me,1,1
30,1,death-me,32,funeral,1,1766,Death,1,2
31,1,death-me,33,my,1,932,Me,1,2
32,1,death-me,34,suicide,1,966,Death,1,2
33,1,death-me,35,I,1,922,Me,1,2
34,1,death-me,36,other,1,690,Not me,0,2
35,1,death-me,37,alive,1,799,Life,0,2
36,1,death-me,38,live,1,781,Life,0,2
37,1,death-me,39,self,1,765,Me,1,2
38,1,death-me,40,their,1,787,Not me,0,2
39,1,death-me,41,they,1,765,Not me,0,2
40,1,death-me,42,theirs,1,665,Not me,0,2
41,1,death-me,43,mine,1,714,Me,1,2
42,1,death-me,44,thrive,1,724,Life,0,2
43,1,death-me,45,survive,1,1131,Life,0,2
44,1,death-me,46,myself,1,607,Me,1,2
45,1,death-me,47,them,1,640,Not me,0,2
46,1,death-me,48,deceased,1,756,Death,1,2
47,1,death-me,49,die,1,615,Death,1,2
48,1,death-me,50,lifeless,1,714,Death,1,2
49,1,death-me,51,breathing,1,732,Life,0,2
50,2,life-me,52,live,1,1664,Life,1,1
51,2,life-me,53,I,1,948,Me,1,1
52,2,life-me,54,lifeless,1,749,Death,0,1
53,2,life-me,55,suicide,1,780,Death,0,1
54,2,life-me,56,thrive,1,1115,Life,1,1
55,2,life-me,57,self,1,948,Me,1,1
56,2,life-me,58,survive,1,858,Life,1,1
57,2,life-me,59,breathing,1,723,Life,1,1
58,2,life-me,60,their,1,790,Not me,0,1
59,2,life-me,61,they,1,656,Not me,0,1
60,2,life-me,62,deceased,1,968,Death,0,1
61,2,life-me,63,die,1,732,Death,0,1
62,2,life-me,64,funeral,1,848,Death,0,1
63,2,life-me,65,other,1,890,Not me,0,1
64,2,life-me,66,mine,1,793,Me,1,1
65,2,life-me,67,alive,1,675,Life,1,1
66,2,life-me,68,my,1,572,Me,1,1
67,2,life-me,69,them,1,641,Not me,0,1
68,2,life-me,70,myself,1,742,Me,1,1
69,2,life-me,71,theirs,1,707,Not me,0,1
70,3,death-me,72,lifeless,1,1541,Death,1,2
71,3,death-me,73,deceased,1,598,Death,1,2
72,3,death-me,74,alive,1,782,Life,0,2
73,3,death-me,75,my,1,817,Me,1,2
74,3,death-me,76,I,1,766,Me,1,2
75,3,death-me,77,die,1,540,Death,1,2
76,3,death-me,78,self,1,756,Me,1,2
77,3,death-me,79,live,1,790,Life,0,2
78,3,death-me,80,mine,1,581,Me,1,2
79,3,death-me,81,breathing,1,607,Life,0,2
80,3,death-me,82,survive,1,1042,Life,0,2
81,3,death-me,83,suicide,1,849,Death,1,2
82,3,death-me,84,theirs,1,665,Not me,0,2
83,3,death-me,85,funeral,1,815,Death,1,2
84,3,death-me,86,they,1,882,Not me,0,2
85,3,death-me,87,their,1,574,Not me,0,2
86,3,death-me,88,them,1,471,Not me,0,2
87,3,death-me,89,thrive,1,974,Life,0,2
88,3,death-me,90,other,1,713,Not me,0,2
89,3,death-me,91,myself,1,582,Me,1,2
90,4,life-me,92,deceased,1,1373,Death,0,1
91,4,life-me,93,I,1,1022,Me,1,1
92,4,life-me,94,thrive,1,1013,Life,1,1
93,4,life-me,95,myself,1,554,Me,1,1
94,4,life-me,96,other,1,771,Not me,0,1
95,4,life-me,97,self,1,683,Me,1,1
96,4,life-me,98,their,1,624,Not me,0,1
97,4,life-me,99,breathing,1,690,Life,1,1
98,4,life-me,100,theirs,1,814,Not me,0,1
99,4,life-me,101,survive,1,1423,Life,1,1
100,4,life-me,102,live,1,989,Life,1,1
101,4,life-me,103,my,1,557,Me,1,1
102,4,life-me,104,mine,1,707,Me,1,1
103,4,life-me,105,die,1,573,Death,0,1
104,4,life-me,106,suicide,1,1040,Death,0,1
105,4,life-me,107,alive,1,776,Life,1,1
106,4,life-me,108,them,1,598,Not me,0,1
107,4,life-me,109,funeral,1,807,Death,0,1
108,4,life-me,110,lifeless,1,731,Death,0,1
109,4,life-me,111,they,1,857,Not me,0,1
110,5,death-me,112,die,1,1207,Death,1,2
111,5,death-me,113,I,1,740,Me,1,2
112,5,death-me,114,other,1,648,Not me,0,2
113,5,death-me,115,their,1,615,Not me,0,2
114,5,death-me,116,deceased,1,773,Death,1,2
115,5,death-me,117,mine,1,580,Me,1,2
116,5,death-me,118,my,1,492,Me,1,2
117,5,death-me,119,funeral,1,606,Death,1,2
118,5,death-me,120,them,1,899,Not me,0,2
119,5,death-me,121,thrive,0,0,Life,0,2
120,5,death-me,122,self,1,856,Me,1,2
121,5,death-me,123,myself,1,681,Me,1,2
122,5,death-me,124,they,1,583,Not me,0,2
123,5,death-me,125,live,1,814,Life,0,2
124,5,death-me,126,suicide,1,615,Death,1,2
