,BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime,Category,Match,Type
0,-1,death-me,2,I,0,0,Me,1,2
1,-1,death-me,3,theirs,0,0,Not me,0,2
2,-1,death-me,4,lifeless,1,1190,Death,1,2
3,-1,death-me,5,survive,1,841,Life,0,2
4,-1,death-me,6,deceased,1,797,Death,1,2
5,-1,death-me,7,die,1,890,Death,1,2
6,-1,death-me,8,funeral,1,774,Death,1,2
7,-1,death-me,9,them,0,0,Not me,0,2
8,-1,death-me,10,suicide,1,815,Death,1,2
9,-1,death-me,11,self,1,973,Me,1,2
10,0,life-me,12,deceased,1,1349,Death,0,1
11,0,life-me,13,their,1,1774,Not me,0,1
12,0,life-me,14,my,1,773,Me,1,1
13,0,life-me,15,I,1,640,Me,1,1
14,0,life-me,16,them,1,769,Not me,0,1
15,0,life-me,17,die,1,899,Death,0,1
16,0,life-me,18,thrive,1,773,Life,1,1
17,0,life-me,19,they,1,1081,Not me,0,1
18,0,life-me,20,live,1,972,Life,1,1
19,0,life-me,21,myself,1,689,Me,1,1
20,0,life-me,22,funeral,1,751,Death,0,1
21,0,life-me,23,breathing,1,732,Life,1,1
22,0,life-me,24,theirs,1,1124,Not me,0,1
23,0,life-me,25,other,1,841,Not me,0,1
24,0,life-me,26,suicide,1,797,Death,0,1
25,0,life-me,27,mine,1,766,Me,1,1
26,0,life-me,28,alive,1,965,Life,1,1
27,0,life-me,29,self,1,988,Me,1,1
28,0,life-me,30,survive,1,1018,Life,1,1
29,0,life-me,31,lifeless,1,756,Death,0,1
30,1,death-me,32,theirs,1,765,Not me,0,2
31,1,death-me,33,alive,1,1166,Life,0,2
32,1,death-me,34,I,1,857,Me,1,2
33,1,death-me,35,other,1,857,Not me,0,2
34,1,death-me,36,mine,1,682,Me,1,2
35,1,death-me,37,myself,1,598,Me,1,2
36,1,death-me,38,thrive,1,1032,Life,0,2
37,1,death-me,39,suicide,1,1123,Death,1,2
38,1,death-me,40,funeral,1,1215,Death,1,2
39,1,death-me,41,lifeless,1,1176,Death,1,2
40,1,death-me,42,breathing,1,1073,Life,0,2
41,1,death-me,43,survive,1,1290,Life,0,2
42,1,death-me,44,self,1,713,Me,1,2
43,1,death-me,45,they,1,874,Not me,0,2
44,1,death-me,46,live,1,1040,Life,0,2
45,1,death-me,47,die,1,1173,Death,1,2
46,1,death-me,48,my,1,911,Me,1,2
47,1,death-me,49,their,1,833,Not me,0,2
48,1,death-me,50,deceased,1,1731,Death,1,2
49,1,death-me,51,them,1,928,Not me,0,2
50,2,life-me,52,theirs,1,1266,Not me,0,1
51,2,life-me,53,die,1,932,Death,0,1
52,2,life-me,54,my,1,622,Me,1,1
53,2,life-me,55,self,1,932,Me,1,1
54,2,life-me,56,breathing,1,603,Life,1,1
55,2,life-me,57,alive,1,498,Life,1,1
56,2,life-me,58,I,1,672,Me,1,1
57,2,life-me,59,live,1,790,Life,1,1
58,2,life-me,60,mine,1,666,Me,1,1
59,2,life-me,61,they,1,690,Not me,0,1
60,2,life-me,62,lifeless,1,766,Death,0,1
61,2,life-me,63,them,1,706,Not me,0,1
62,2,life-me,64,funeral,1,711,Death,0,1
63,2,life-me,65,other,1,768,Not me,0,1
64,2,life-me,66,their,1,632,Not me,0,1
65,2,life-me,67,myself,1,915,Me,1,1
66,2,life-me,68,thrive,1,965,Life,1,1
67,2,life-me,69,deceased,1,1249,Death,0,1
68,2,life-me,70,survive,1,798,Life,1,1
69,2,life-me,71,suicide,1,791,Death,0,1
70,3,death-me,72,theirs,1,1090,Not me,0,2
71,3,death-me,73,thrive,1,1507,Life,0,2
72,3,death-me,74,alive,1,1158,Life,0,2
73,3,death-me,75,self,1,1056,Me,1,2
74,3,death-me,76,them,1,783,Not me,0,2
75,3,death-me,77,survive,1,967,Life,0,2
76,3,death-me,78,funeral,1,817,Death,1,2
77,3,death-me,79,lifeless,1,848,Death,1,2
78,3,death-me,80,their,1,825,Not me,0,2
79,3,death-me,81,my,1,625,Me,1,2
80,3,death-me,82,suicide,1,792,Death,1,2
81,3,death-me,83,myself,1,823,Me,1,2
82,3,death-me,84,mine,1,965,Me,1,2
