,BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime,Category,Match,Type
0,-1,life-me,2,self,1,1324,Me,1,1
1,-1,life-me,3,theirs,1,1081,Not me,0,1
2,-1,life-me,4,suicide,1,1407,Death,0,1
3,-1,life-me,5,alive,1,957,Life,1,1
4,-1,life-me,6,my,1,1147,Me,1,1
5,-1,life-me,7,mine,1,849,Me,1,1
6,-1,life-me,8,deceased,1,1065,Death,0,1
7,-1,life-me,9,them,1,956,Not me,0,1
8,-1,life-me,10,lifeless,1,947,Death,0,1
9,-1,life-me,11,survive,1,1097,Life,1,1
10,0,death-me,12,mine,1,879,Me,1,2
11,0,death-me,13,deceased,1,963,Death,1,2
12,0,death-me,14,myself,1,815,Me,1,2
13,0,death-me,15,die,1,925,Death,1,2
14,0,death-me,16,breathing,1,757,Life,0,2
15,0,death-me,17,live,1,1233,Life,0,2
16,0,death-me,18,alive,1,976,Life,0,2
17,0,death-me,19,their,1,1072,Not me,0,2
18,0,death-me,20,my,1,766,Me,1,2
19,0,death-me,21,suicide,1,822,Death,1,2
20,0,death-me,22,they,1,824,Not me,0,2
21,0,death-me,23,lifeless,1,1758,Death,1,2
22,0,death-me,24,them,1,998,Not me,0,2
23,0,death-me,25,thrive,1,1258,Life,0,2
24,0,death-me,26,I,1,946,Me,1,2
25,0,death-me,27,survive,1,1039,Life,0,2
26,0,death-me,28,other,1,1187,Not me,0,2
27,0,death-me,29,funeral,1,898,Death,1,2
28,0,death-me,30,self,1,874,Me,1,2
29,0,death-me,31,theirs,1,697,Not me,0,2
30,1,life-me,32,them,1,982,Not me,0,1
31,1,life-me,33,they,1,1073,Not me,0,1
32,1,life-me,34,lifeless,1,1015,Death,0,1
33,1,life-me,35,alive,1,850,Life,1,1
34,1,life-me,36,breathing,1,855,Life,1,1
35,1,life-me,37,live,1,1299,Life,1,1
36,1,life-me,38,I,1,748,Me,1,1
37,1,life-me,39,mine,1,749,Me,1,1
38,1,life-me,40,suicide,1,941,Death,0,1
39,1,life-me,41,self,1,865,Me,1,1
40,1,life-me,42,myself,1,848,Me,1,1
41,1,life-me,43,survive,1,1022,Life,1,1
42,1,life-me,44,die,1,640,Death,0,1
43,1,life-me,45,funeral,1,923,Death,0,1
44,1,life-me,46,my,1,865,Me,1,1
45,1,life-me,47,thrive,1,1298,Life,1,1
46,1,life-me,48,their,1,698,Not me,0,1
47,1,life-me,49,deceased,1,1182,Death,0,1
48,1,life-me,50,other,1,1006,Not me,0,1
49,1,life-me,51,theirs,1,867,Not me,0,1
50,2,death-me,52,funeral,1,759,Death,1,2
51,2,death-me,53,their,1,782,Not me,0,2
52,2,death-me,54,breathing,1,1149,Life,0,2
53,2,death-me,55,myself,1,641,Me,1,2
54,2,death-me,56,live,1,897,Life,0,2
55,2,death-me,57,I,1,1126,Me,1,2
56,2,death-me,58,mine,1,815,Me,1,2
57,2,death-me,59,thrive,1,1263,Life,0,2
58,2,death-me,60,deceased,1,815,Death,1,2
59,2,death-me,61,they,1,1030,Not me,0,2
60,2,death-me,62,self,1,974,Me,1,2
61,2,death-me,63,die,1,687,Death,1,2
62,2,death-me,64,survive,1,698,Life,0,2
63,2,death-me,65,lifeless,1,1653,Death,1,2
64,2,death-me,66,them,1,831,Not me,0,2
65,2,death-me,67,alive,1,898,Life,0,2
66,2,death-me,68,theirs,1,898,Not me,0,2
67,2,death-me,69,suicide,1,657,Death,1,2
68,2,death-me,70,other,1,672,Not me,0,2
69,2,death-me,71,my,1,893,Me,1,2
70,3,life-me,72,alive,1,991,Life,1,1
71,3,life-me,73,theirs,1,679,Not me,0,1
72,3,life-me,74,mine,1,882,Me,1,1
73,3,life-me,75,they,1,642,Not me,0,1
74,3,life-me,76,deceased,1,1749,Death,0,1
75,3,life-me,77,myself,1,681,Me,1,1
76,3,life-me,78,their,1,823,Not me,0,1
77,3,life-me,79,suicide,1,839,Death,0,1
78,3,life-me,80,I,1,884,Me,1,1
79,3,life-me,81,other,1,740,Not me,0,1
80,3,life-me,82,self,1,815,Me,1,1
81,3,life-me,83,thrive,1,856,Life,1,1
82,3,life-me,84,them,1,748,Not me,0,1
83,3,life-me,85,die,1,865,Death,0,1
84,3,life-me,86,live,1,847,Life,1,1
85,3,life-me,87,survive,1,1124,Life,1,1
86,3,life-me,88,funeral,1,625,Death,0,1
87,3,life-me,89,breathing,1,665,Life,1,1
88,3,life-me,90,my,1,482,Me,1,1
89,3,life-me,91,lifeless,1,924,Death,0,1
90,4,death-me,92,survive,1,1083,Life,0,2
91,4,death-me,93,thrive,1,1240,Life,0,2
92,4,death-me,94,die,1,816,Death,1,2
93,4,death-me,95,other,1,914,Not me,0,2
94,4,death-me,96,suicide,1,698,Death,1,2
95,4,death-me,97,I,1,982,Me,1,2
96,4,death-me,98,mine,1,724,Me,1,2
97,4,death-me,99,theirs,1,745,Not me,0,2
98,4,death-me,100,self,1,1135,Me,1,2
99,4,death-me,101,they,1,675,Not me,0,2
100,4,death-me,102,funeral,1,640,Death,1,2
101,4,death-me,103,deceased,1,683,Death,1,2
102,4,death-me,104,my,1,666,Me,1,2
103,4,death-me,105,breathing,1,773,Life,0,2
104,4,death-me,106,their,1,707,Not me,0,2
105,4,death-me,107,them,1,891,Not me,0,2
106,4,death-me,108,myself,1,617,Me,1,2
107,4,death-me,109,alive,1,848,Life,0,2
108,4,death-me,110,live,1,823,Life,0,2
109,4,death-me,111,lifeless,1,974,Death,1,2
110,5,life-me,112,myself,1,849,Me,1,1
111,5,life-me,113,survive,1,831,Life,1,1
112,5,life-me,114,die,1,740,Death,0,1
113,5,life-me,115,live,1,715,Life,1,1
114,5,life-me,116,I,1,839,Me,1,1
115,5,life-me,117,thrive,1,898,Life,1,1
116,5,life-me,118,funeral,1,734,Death,0,1
117,5,life-me,119,self,1,865,Me,1,1
118,5,life-me,120,lifeless,1,1037,Death,0,1
119,5,life-me,121,theirs,1,1081,Not me,0,1
120,5,life-me,122,their,1,1064,Not me,0,1
121,5,life-me,123,they,1,749,Not me,0,1
122,5,life-me,124,suicide,1,949,Death,0,1
123,5,life-me,125,alive,1,882,Life,1,1
124,5,life-me,126,deceased,1,1510,Death,0,1
125,5,life-me,127,other,1,1008,Not me,0,1
126,5,life-me,128,them,1,1057,Not me,0,1
127,5,life-me,129,breathing,1,723,Life,1,1
128,5,life-me,130,my,1,801,Me,1,1
129,5,life-me,131,mine,1,682,Me,1,1
130,6,death-me,132,die,1,615,Death,1,2
131,6,death-me,133,breathing,1,840,Life,0,2
132,6,death-me,134,suicide,1,799,Death,1,2
133,6,death-me,135,thrive,1,1240,Life,0,2
134,6,death-me,136,survive,1,1340,Life,0,2
135,6,death-me,137,them,1,1466,Not me,0,2
136,6,death-me,138,alive,1,982,Life,0,2
137,6,death-me,139,deceased,1,824,Death,1,2
138,6,death-me,140,other,1,639,Not me,0,2
139,6,death-me,141,funeral,1,756,Death,1,2
140,6,death-me,142,theirs,1,807,Not me,0,2
141,6,death-me,143,lifeless,1,1041,Death,1,2
142,6,death-me,144,live,1,741,Life,0,2
143,6,death-me,145,their,1,840,Not me,0,2
144,6,death-me,146,they,1,806,Not me,0,2
145,6,death-me,147,myself,1,923,Me,1,2
146,6,death-me,148,I,1,747,Me,1,2
147,6,death-me,149,mine,1,724,Me,1,2
148,6,death-me,150,my,1,632,Me,1,2
149,6,death-me,151,self,1,940,Me,1,2
150,7,life-me,152,lifeless,1,940,Death,0,1
151,7,life-me,153,alive,1,785,Life,1,1
152,7,life-me,154,other,1,873,Not me,0,1
153,7,life-me,155,their,1,998,Not me,0,1
154,7,life-me,156,die,1,1290,Death,0,1
155,7,life-me,157,I,1,691,Me,1,1
156,7,life-me,158,funeral,1,1040,Death,0,1
157,7,life-me,159,they,1,822,Not me,0,1
158,7,life-me,160,survive,1,789,Life,1,1
159,7,life-me,161,myself,1,623,Me,1,1
160,7,life-me,162,live,1,856,Life,1,1
161,7,life-me,163,deceased,1,1367,Death,0,1
162,7,life-me,164,thrive,1,767,Life,1,1
163,7,life-me,165,theirs,1,674,Not me,0,1
164,7,life-me,166,mine,1,640,Me,1,1
165,7,life-me,167,them,1,690,Not me,0,1
166,7,life-me,168,breathing,1,724,Life,1,1
