,BlockNumber,BlockType,TrialNum,Stim,Response,ResponseTime,Category,Match,Type
0,-1,death-me,2,I,1,556,Me,1,2
1,-1,death-me,3,their,1,656,Not me,0,2
2,-1,death-me,4,deceased,1,747,Death,1,2
3,-1,death-me,5,live,1,1237,Life,0,2
4,-1,death-me,6,suicide,0,0,Death,1,2
5,-1,death-me,7,survive,0,0,Life,0,2
6,-1,death-me,8,mine,0,0,Me,1,2
7,-1,death-me,9,them,0,0,Not me,0,2
8,-1,death-me,10,funeral,0,0,Death,1,2
9,-1,death-me,11,my,0,0,Me,1,2
10,0,life-me,12,self,1,856,Me,1,1
11,0,life-me,13,lifeless,1,1046,Death,0,1
12,0,life-me,14,my,1,731,Me,1,1
13,0,life-me,15,die,1,598,Death,0,1
14,0,life-me,16,survive,1,682,Life,1,1
15,0,life-me,17,live,1,673,Life,1,1
16,0,life-me,18,funeral,1,888,Death,0,1
17,0,life-me,19,thrive,1,731,Life,1,1
18,0,life-me,20,they,1,704,Not me,0,1
19,0,life-me,21,theirs,1,1384,Not me,0,1
20,0,life-me,22,deceased,1,1090,Death,0,1
21,0,life-me,23,breathing,1,1373,Life,1,1
22,0,life-me,24,suicide,1,806,Death,0,1
23,0,life-me,25,I,1,797,Me,1,1
24,0,life-me,26,their,1,1398,Not me,0,1
25,0,life-me,27,myself,1,732,Me,1,1
26,0,life-me,28,them,1,782,Not me,0,1
27,0,life-me,29,alive,1,698,Life,1,1
28,0,life-me,30,mine,1,648,Me,1,1
29,0,life-me,31,other,1,772,Not me,0,1
30,1,death-me,32,theirs,1,1841,Not me,0,2
31,1,death-me,33,them,1,799,Not me,0,2
32,1,death-me,34,other,1,888,Not me,0,2
33,1,death-me,35,live,1,40,Life,0,2
34,1,death-me,36,myself,1,832,Me,1,2
35,1,death-me,37,lifeless,1,931,Death,1,2
36,1,death-me,38,self,1,763,Me,1,2
37,1,death-me,39,alive,1,657,Life,0,2
38,1,death-me,40,thrive,1,1406,Life,0,2
39,1,death-me,41,their,1,1248,Not me,0,2
40,1,death-me,42,breathing,1,970,Life,0,2
41,1,death-me,43,my,1,946,Me,1,2
42,1,death-me,44,survive,1,1123,Life,0,2
43,1,death-me,45,I,1,1156,Me,1,2
44,1,death-me,46,mine,1,748,Me,1,2
45,1,death-me,47,suicide,1,640,Death,1,2
46,1,death-me,48,they,0,0,Not me,0,2
47,1,death-me,49,funeral,1,933,Death,1,2
48,1,death-me,50,deceased,1,831,Death,1,2
49,1,death-me,51,die,1,571,Death,1,2
50,2,life-me,52,funeral,1,1089,Death,0,1
51,2,life-me,53,die,1,515,Death,0,1
